afr (Afrikaans)
ara (Arabic)
aze (Azerbaijani)
bel (Belarusian)
bos (Bosnian)
bul (Bulgarian)
ces (Czech)
chi_sim (Chinese)
dan (Danish)
deu (German)
ell (Greek)
eng (English)
est (Estonian)
fas (Persian)
fin (Finnish)
fra (French)
gle (Irish)
heb (Hebrew)
hin (Hindi)
hrv (Croatian)
hun (Hungarian)
ind (Indonesian)
isl (Icelandic)
ita (Italian)
jpn (Japanese)
kat (Georgian)
kor (Korean)
kur (Kurdish)
lat (Latin)
lav (Latvian)
lit (Lithuanian)
nld (Dutch)
nor (Norwegian)
pol (Polish)
por (Portuguese)
ron (Romanian)
rus (Russian)
slk (Slovak)
slv (Slovenian)
spa (Spanish)
sqi (Albanian)
srp (Serbian)
swe (Swedish)
syr (Syriac)
tha (Thai)
tur (Turkish)
ukr (Ukrainian)
